버스정류장코드,시도명,시군코드,버스정류장명,측정시간,측정원본시간,미세먼지PM2점5측정값,미세먼지PM10측정값,일산화탄소측정값,이산화황측정값,이산화질소측정값,외부온도측정값,외부습도측정값,풍향,풍속측정값
49276,남양주시,41360,신동아아파트입구.한양병원,2020-08-28 14:22:33,1598624553,23,29,0,0.005,0.164,27.3,90.2,SE,0.3
23537,남양주시,41360,능내리봉안마을,2020-08-28 14:22:34,1598624554,20,26,0,0.012,0.113,33,68.8,SE,1.2
49174,남양주시,41360,롯데마트,2020-08-28 14:26:37,1598624797,19,27,0,0,0.126,29,79.6,SW,1.3
23935,남양주시,41360,진중삼거리,2020-08-28 14:29:56,1598624996,20,24,0,0.032,0.088,33.6,66.6,SW,0
23054,남양주시,41360,넉바위마을,2020-08-28 14:25:06,1598624706,23,27,0,0.02,0.094,31.8,75.9,W ,0.7
23220,남양주시,41360,지세마을,2020-08-28 14:28:09,1598624889,24,39,0,0,0.019,31,76.3,SW,0.7
23652,남양주시,41360,무량사,2020-08-28 14:21:02,1598624462,20,26,0,0.098,1.344,28.2,89.5,NW,0.4
49340,남양주시,41360,삼육대후문.논골.한화아파트,2020-08-28 14:23:55,1598624635,24,28,0,0.006,0.086,31,74.8,SE,1.9
23331,남양주시,41360,금곡동주민자치센터.장애인복지관.보훈회관.금강.명지A,2020-08-28 14:27:56,1598624876,0,0,0,0.115,0.113,27.4,90.3,NE,1.1
23363,남양주시,41360,홍유릉.금곡동주민센터.남양주고용복지플러스센터,2020-08-28 14:27:30,1598624850,19,23,0,0,0.053,26.5,99.7,NE,0.3
49350,남양주시,41360,대원칸타빌.모아미래도.유승한내들이든힐즈,2020-08-28 14:23:08,1598624588,25,30,0,0,0.05,31.6,74,NE,0
23336,남양주시,41360,인정프린스아파트.구금곡역,2020-08-28 14:21:25,1598624485,22,29,0,0.386,0.104,27.5,90.5,E ,0.7
23378,남양주시,41360,금곡역.어룡마을입구.주유소,2020-08-28 14:23:08,1598624588,20,25,0,0,0.057,26.6,94.2,NE,1.2
23917,남양주시,41360,별내면사무소.에코랜드입구,2020-08-28 14:23:57,1598624637,21,26,0,0.011,0.074,30.5,77.2,W ,0.8
23875,남양주시,41360,와부읍사무소,2020-08-28 14:25:04,1598624704,21,26,0,0,0,29,88,SW,0
23149,남양주시,41360,법골,2020-08-28 14:27:44,1598624864,25,31,0,0.036,0.091,29.3,84,NE,0.7
49205,남양주시,41360,신영지웰.금강아파트.진접초교,2020-08-28 14:19:29,1598624369,19,24,0,0,0.052,29.3,84.9,E ,0
23022,남양주시,41360,청학리주공2.3단지.농협,2020-08-28 14:21:27,1598624487,23,28,0,0.046,0.062,29.8,85.1,S ,0.4
23969,남양주시,41360,"풍양중, 진접고등학교",2020-08-28 14:22:59,1598624579,20,24,0,0.048,0.112,31,74.4,SE,1.8
23964,남양주시,41360,신도브래뉴아파트,2020-08-28 14:22:53,1598624573,19,22,0.081,0,0.115,29.6,85.5,E ,0.3
23356,남양주시,41360,광릉내종점,2020-08-28 14:22:59,1598624579,21,26,0,0.026,0.156,30.2,79.8,W ,0.7
